CaseOrder,Customer_id,Interaction,UID,City,State,County,Zip,Lat,Lng,Population,Area,TimeZone,Job,Children,Age,Income,Marital,Gender,Churn,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Techie,Contract,Port_modem,Tablet,InternetService,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,PaymentMethod,Tenure,MonthlyCharge,Bandwidth_GB_Year,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8
269,N584184,1e50ccce-2ef5-4d19-b74c-742e0e97b540,dcbaa5fb34f4bd52a4c55225b7b0e80e,Washington,DC,District of Columbia,20015,38.96659,-77.05848,16395,Urban,America/New_York,"Surveyor, minerals",3,19,10701.11,Never Married,Female,Yes,9.753145376,19,0,1,No,Month-to-month,No,No,DSL,No,Yes,No,No,No,No,Yes,Yes,No,Credit Card (automatic),7.425503428,220.114868,1740.72604,3,2,4,3,3,5,2,4
270,K578402,5ee0f898-5991-4894-9a14-58c2969d3f44,587d245307e0a06fef1b5a798a57e832,Hazelton,KS,Barber,67061,37.09139,-98.37254,198,Urban,America/Chicago,Hospital pharmacist,1,78,10767.15,Divorced,Male,Yes,14.57387887,13,0,0,No,One year,Yes,No,None,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Mailed Check,2.411712843,197.516854,704.7552669,3,3,4,4,2,3,3,4
271,Y413092,72dc706e-2d37-4066-aa49-52de4e310def,ec92e4237a6283e01538583d8582f1b6,Fountain,FL,Bay,32438,30.50527,-85.42896,3473,Suburban,America/Chicago,"Engineer, biomedical",4,61,13493.63,Separated,Female,No,13.13441554,15,1,1,No,One year,Yes,No,Fiber Optic,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Bank Transfer(automatic),2.009542213,194.974431,558.4710883,5,6,3,3,3,4,5,3
272,F980573,fcc09934-be4c-4f4e-9bef-6c1bb27b9a3c,b37f5fc84a842c6ff9870203fdf87af6,Markle,IN,Wells,46770,40.83313,-85.31898,2992,Rural,America/Indiana/Indianapolis,Broadcast presenter,0,38,25071.58,Separated,Male,Yes,11.62771397,15,0,0,No,Month-to-month,No,No,None,Yes,No,No,No,No,No,Yes,Yes,Yes,Mailed Check,9.068119482,175.133074,1282.279049,2,2,1,1,4,3,3,2
273,I581177,df0a0445-bdce-4d68-9875-09c3276e0312,11a1bcffcfc7f030f416945a5a1f654d,Elmira,OR,Lane,97437,44.09688,-123.38908,2914,Suburban,America/Los_Angeles,Hospital doctor,0,79,368.5,Never Married,Male,Yes,6.114030983,11,0,1,No,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,Yes,No,No,No,No,No,No,Electronic Check,1.926789854,147.478341,287.8189836,3,3,4,5,5,4,2,3
274,U469398,b7dff1bc-4214-44fd-86c0-43d76cff438f,113ae402b8fe91185ed7e9243704bdda,Hildreth,NE,Franklin,68947,40.28011,-99.04764,617,Suburban,America/Chicago,Theatre stage manager,0,49,27976.63,Divorced,Female,No,12.76603868,8,2,1,No,Two Year,No,Yes,None,Yes,Yes,No,Yes,No,No,No,No,Yes,Electronic Check,11.77389421,134.980139,1129.529441,4,4,4,2,4,2,3,2
275,I85282,219baf7a-4b25-4845-862b-8559b18e5504,7707069fd840afc20496f9a8d101984a,Metz,WV,Marion,26585,39.61491,-80.42931,444,Urban,America/New_York,Operational researcher,0,41,56154.5,Married,Female,No,6.348897952,10,3,0,No,One year,Yes,No,Fiber Optic,Yes,Yes,No,No,Yes,No,No,No,No,Mailed Check,2.585228303,157.483594,394.0148722,1,2,2,2,2,3,3,1
276,Z317359,14440f99-7726-4b12-b350-99b7c3cf7f90,4a042d7e06f6f1a930635b0168da84a8,Austin,TX,Travis,78744,30.18277,-97.7292,48969,Urban,America/Chicago,Tax inspector,0,75,62145.59,Widowed,Female,No,16.10939031,9,2,1,No,One year,Yes,No,Fiber Optic,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Credit Card (automatic),9.517703088,255.141716,1302.230824,3,2,3,4,3,4,5,3
277,I981930,ca19e30d-13a3-4faf-bfd8-641eff09a5b7,d2154336923b619d216eceaaecce310e,Sarasota,FL,Sarasota,34237,27.3377,-82.51397,17307,Rural,America/New_York,Television camera operator,1,60,6517.94,Married,Female,No,7.151598137,13,0,0,No,Two Year,Yes,Yes,Fiber Optic,Yes,No,No,No,No,No,Yes,No,Yes,Mailed Check,9.532523799,137.439154,970.4682919,4,4,5,4,3,5,4,5
278,N227355,524c026c-0dc9-4938-acad-ab435b5fbe88,e5d2a5e0e41990fc23e2b2542fe60569,San Mateo,CA,San Mateo,94402,37.54109,-122.33312,25764,Suburban,America/Los_Angeles,Arts administrator,1,70,19090.03,Never Married,Male,No,4.575363954,13,0,0,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Mailed Check,23.103996,235.159141,2522.88913,4,5,4,4,3,4,5,4
279,E805998,5071d986-b118-4707-82a4-ff87b8307a5b,a2395c4eb5ee9713c3d10e0ecd6e9609,Hartland,MN,Freeborn,56042,43.8042,-93.48359,671,Suburban,America/Chicago,Patent attorney,0,23,13194.33,Divorced,Male,Yes,13.42263904,9,0,0,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,No,Yes,No,Yes,No,No,Yes,Mailed Check,5.104873611,147.460067,682.9871863,4,4,4,4,3,4,6,5
280,J633340,109626fd-a709-470e-ba0d-0455be575206,4a22ba246d426be94ac26873956008ee,Crawford,TX,McLennan,76638,31.5498,-97.44461,3064,Suburban,America/Chicago,Bonds trader,2,84,63963.36,Married,Female,Yes,3.559550725,8,1,0,Yes,Month-to-month,No,No,DSL,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Mailed Check,6.877942744,232.637807,1537.109931,4,3,3,3,4,3,3,3
281,L762626,d47bdac4-9878-463e-9503-08e594e78cec,a106dbda2e840e2254ef20b15eca950a,Boston,MA,Suffolk,2215,42.34777,-71.10282,25619,Suburban,America/New_York,Ship broker,1,63,34447.89,Married,Male,Yes,5.971214226,13,3,0,No,One year,Yes,No,Fiber Optic,Yes,No,No,No,No,No,Yes,No,Yes,Mailed Check,21.17839683,137.439154,1961.923965,3,4,4,5,4,4,3,3
282,S206250,614ee295-34e7-4587-b112-cbc345356380,929c9fd2e7522573023dd5de5ae5698c,Stanwood,WA,Snohomish,98292,48.2234,-122.30731,22547,Suburban,America/Los_Angeles,Furniture conservator/restorer,2,88,36315.29,Separated,Female,No,7.287197615,16,3,0,No,Month-to-month,No,Yes,DSL,Yes,No,No,No,No,Yes,Yes,No,Yes,Credit Card (automatic),1.586331702,129.948316,676.1747964,4,3,3,3,4,3,3,4
283,C917569,e2b7e84f-6a7a-41bc-b684-f2dc0d020488,dc7997c1e347341e47fb9277e26bc77f,Lucas,KS,Russell,67648,39.079,-98.56831,545,Suburban,America/Chicago,Media planner,0,44,5009.07,Divorced,Female,Yes,11.30031859,18,3,0,No,Month-to-month,No,No,Fiber Optic,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Bank Transfer(automatic),3.778174405,242.632554,929.2607767,4,3,5,3,3,4,5,4
284,L282757,fb0c0713-ec11-40a8-bcaa-bf3a8dd10191,50ab36bf60898c14d4743e40002819b3,Siler,KY,Whitley,40763,36.69269,-83.92336,398,Suburban,America/New_York,Neurosurgeon,1,49,14202.72,Never Married,Female,Yes,10.26519974,17,0,0,Yes,Month-to-month,No,No,DSL,Yes,No,No,No,No,No,Yes,Yes,No,Mailed Check,11.58276897,187.609354,1849.484087,4,4,4,3,3,4,3,4
285,D762674,641a6012-cbbb-469f-ae8a-7f163d6ee68d,5cb4f9e8eaba85cb6d3e007ece2941b9,Kistler,WV,Logan,25628,37.76602,-81.86216,217,Urban,America/New_York,"Accountant, chartered certified",8,32,54779.76,Married,Male,Yes,16.28075484,14,0,0,Yes,One year,No,No,None,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Mailed Check,11.62258922,232.652038,1998.680227,3,3,3,5,3,4,4,5
286,N914081,dc199911-b2ae-4e37-927e-7cac31923a7b,3465b58491a2bfc749930a989c607ed8,Valdosta,GA,Lowndes,31601,30.75159,-83.34207,32084,Rural,America/New_York,Radio broadcast assistant,1,69,36453.31,Divorced,Nonbinary,No,10.96553586,8,1,0,No,One year,No,No,None,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Mailed Check,20.78013031,159.980465,1898.877878,3,3,4,3,4,2,2,3
287,K905632,9e7b66b1-95b1-46ba-a7d6-8bdb3f1f8427,8c20df6873dfae60bb1e0c7ffeb15c6d,Hauula,HI,Honolulu,96717,21.55604,-157.89624,5148,Suburban,Pacific/Honolulu,"Scientist, forensic",2,60,11250.71,Separated,Female,Yes,10.93514898,16,1,1,No,Month-to-month,No,No,DSL,Yes,Yes,No,No,No,No,No,Yes,No,Bank Transfer(automatic),3.940297464,159.947583,992.3501481,3,3,5,5,2,4,4,5
288,H247341,a5ff9164-4510-4831-b9d5-91251a23a019,c0080ff64e135e411fa7332ec499f404,Masontown,WV,Preston,26542,39.57312,-79.79061,2526,Suburban,America/New_York,Mental health nurse,0,57,65951.35,Separated,Female,No,2.98020454,11,0,0,Yes,Month-to-month,No,No,Fiber Optic,Yes,No,No,No,Yes,Yes,No,No,Yes,Credit Card (automatic),11.38099891,137.487242,994.6354785,4,4,3,4,3,3,4,3
289,N02836,e0897e39-36e0-4fb9-b567-8d421e5da2cd,aa0411ef391d99bd5cbf7fcc915c6870,Centreville,VA,Fairfax,20121,38.81767,-77.46029,30097,Urban,America/New_York,"Engineer, materials",8,62,15292.25,Separated,Female,Yes,17.05256354,14,0,1,No,Two Year,No,No,Fiber Optic,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Mailed Check,1.473304337,245.131966,954.0290712,5,5,5,4,3,5,3,5
290,P742927,52675c91-b9dc-4f48-bf88-52a71f4011b5,9eee9d669c1dfeeaf1349ac9c1b8ca2c,Belview,MN,Redwood,56214,44.60674,-95.32622,703,Suburban,America/Chicago,Purchasing manager,0,26,41879.1,Divorced,Male,No,12.29165611,11,0,1,No,Month-to-month,Yes,No,DSL,Yes,No,No,No,No,No,Yes,No,No,Bank Transfer(automatic),12.75609778,117.439154,1775.838153,3,3,3,3,4,3,3,2
291,V109553,74ee71c8-3d98-49fc-b211-ec908f98e81c,7aa44de607219ea9f6d9b9413fea8a58,Great Mills,MD,St. Mary's,20634,38.24378,-76.49519,7334,Urban,America/New_York,"Scientist, biomedical",0,85,17080.57,Divorced,Female,Yes,10.32744663,10,0,1,No,Two Year,No,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Electronic Check,6.253919786,209.993134,1297.050577,3,3,4,3,4,4,5,4
292,J227266,b6a53542-a36f-4b73-b2c5-f04b7eafc8bd,19bdd541ef1defd75588035a4fa8ca02,Germantown,MD,Montgomery,20874,39.12972,-77.2975,61045,Rural,America/New_York,Photographer,2,82,68122.23,Separated,Female,No,9.22949351,18,0,0,No,One year,No,No,Fiber Optic,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Electronic Check,18.9537053,169.974105,1746.405243,2,3,2,3,4,1,2,3
293,F881222,f96ebfcb-b948-4a84-934d-7f1b1b2f9b1f,03af3060f9a96393dea9413627e1dd10,Walnut Grove,AL,Etowah,35990,34.06773,-86.30454,117,Rural,America/Chicago,Science writer,2,40,39468.79,Widowed,Female,No,10.02758972,11,1,1,No,Two Year,No,No,DSL,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Electronic Check,9.640061615,197.470195,1698.465833,3,3,4,3,5,2,4,3
294,O167724,12442323-6949-4d40-9175-b409731ed1f5,475040ec512d7fd4eeaecdd57aa7b07c,Waynesboro,PA,Franklin,17268,39.77564,-77.57384,29426,Urban,America/New_York,"Engineer, manufacturing",0,50,123763.12,Divorced,Male,Yes,7.259022839,10,1,0,No,Month-to-month,Yes,No,None,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Bank Transfer(automatic),5.201330266,137.516476,665.4740915,6,5,5,4,2,4,5,3
295,Y554348,ac0f88a7-eef7-4326-aeab-0cecacc9aca1,6042eb32fdc300a1f67d2527c8e8fec4,Akron,OH,Summit,44310,41.1066,-81.4971,26659,Rural,America/New_York,Sports coach,1,71,84301.44,Separated,Male,Yes,10.97274944,10,0,1,No,Month-to-month,No,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Electronic Check,12.42120946,207.475448,1886.153328,3,3,4,3,4,2,4,3
296,N800767,7d9b0066-2fc1-4348-bf0c-58af0e7db43c,46d5bf016ef2ff73ff78cf629a2d96b7,Craig,CO,Moffat,81625,40.73385,-107.68729,12478,Urban,America/Denver,Environmental manager,2,48,42469.81,Never Married,Nonbinary,No,11.87042081,14,1,0,No,Month-to-month,No,No,Fiber Optic,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Electronic Check,8.134438503,160.00128,958.6989908,4,4,4,1,7,3,2,3
297,B363210,ad858efa-63d6-4ca6-bd17-4ce0c50bad6d,b94e2ad0ff9e0eb26d6bc26921b24aae,Madison,FL,Madison,32340,30.46196,-83.43505,11294,Rural,America/New_York,Geophysical data processor,0,24,75458.79,Separated,Female,No,9.531063533,10,1,0,No,Two Year,Yes,No,Fiber Optic,Yes,Yes,Yes,No,No,No,No,No,Yes,Electronic Check,14.86764776,147.478341,1446.203986,5,5,5,2,3,3,4,5
298,P903407,fa15b999-26e8-448d-a9e2-3e7839c966ea,c1189fafc56abd6251c6be46ba02432e,Rockaway Beach,MO,Taney,65740,36.71321,-93.16393,3264,Urban,America/Chicago,"Embryologist, clinical",3,79,60345.9,Never Married,Male,No,8.798065013,11,1,0,No,Two Year,Yes,No,None,Yes,No,No,No,Yes,No,No,Yes,Yes,Credit Card (automatic),5.548652108,127.488728,774.6125757,4,4,4,4,3,4,4,5
299,O825386,ff4e5d18-ba80-4be8-a5c3-4f8b5d5dee66,f67828523236a4e6546222a693804f49,Ocean View,HI,Hawaii,96737,19.07026,-155.77587,4926,Rural,Pacific/Honolulu,Estate agent,4,82,76066.77,Separated,Male,No,15.27146446,12,2,1,No,Month-to-month,No,No,None,Yes,No,No,Yes,Yes,No,Yes,No,No,Electronic Check,18.35541838,139.981577,1939.811149,3,3,4,4,4,3,5,5
300,Q76170,d90190d0-9971-4e2c-b6f8-76ac27851888,e0183cabdb179d68d42e4d7424a0c9d3,Orlando,OK,Logan,73073,36.15589,-97.40778,473,Urban,America/Chicago,Travel agency manager,2,68,42755.27,Divorced,Female,Yes,7.014445177,8,0,1,Yes,Month-to-month,No,Yes,Fiber Optic,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Mailed Check,7.62779591,220.132293,1165.564309,3,2,3,2,3,5,4,3
301,J04574,5c789243-4c35-4080-83d2-170d9eb9e127,f2de209e86187d9556b89ec87dc742fc,Brockport,NY,Monroe,14420,43.212,-77.93454,20925,Suburban,America/New_York,"Teacher, special educational needs",5,77,76874.25,Widowed,Nonbinary,No,10.62019312,10,0,0,No,One year,Yes,No,Fiber Optic,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Mailed Check,4.439685675,214.952509,750.8768234,2,3,3,3,3,4,3,2
302,R620556,675149da-15b6-48ca-8c9e-13f6b6106aef,d21c6efa30bc4f97b4ab71346ee90fa3,Pitkin,CO,Gunnison,81241,38.61792,-106.51462,114,Urban,America/Denver,Public librarian,1,19,41075.64,Widowed,Female,No,10.04585562,14,1,1,Yes,One year,No,No,None,Yes,No,No,No,Yes,Yes,No,Yes,No,Electronic Check,11.16903388,139.99789,1292.3206,5,5,5,4,3,5,4,3
303,S136763,e135cd1d-b3b5-48e4-9957-b5b77be6100e,f0a8f8bf8eb86326a6bd5a5f0083c0fd,Broad Top,PA,Huntingdon,16621,40.23225,-78.12523,715,Suburban,America/New_York,"Designer, blown glass/stained glass",1,80,63095.62,Widowed,Male,Yes,10.88047174,15,1,2,Yes,Month-to-month,No,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Electronic Check,14.14101821,270.160419,2335.130986,3,3,3,3,4,2,4,4
304,J790219,59a8c0c4-8155-4b5e-b476-62923fbf6287,3f26619dec181a71f6aafc8bcd7003fd,Pie Town,NM,Catron,87827,34.40185,-108.10286,110,Suburban,America/Denver,Occupational hygienist,4,31,82131.87,Separated,Female,Yes,9.975481565,13,1,0,No,Two Year,Yes,No,Fiber Optic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Electronic Check,3.212400569,202.443347,769.8534863,5,3,4,2,4,3,4,2
305,O403373,8d76493b-2b6c-4e76-a0f4-3c499f008ed2,21c30dd4fdb36a6db29e675f33f5f76d,Buffalo,NY,Erie,14206,42.88087,-78.81142,19869,Rural,America/New_York,Surgeon,2,62,28502.33,Divorced,Male,No,7.248946018,10,1,2,No,Month-to-month,No,No,Fiber Optic,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Credit Card (automatic),16.84928353,172.47417,1729.837284,4,4,4,3,3,3,4,3
306,S256934,5406ee22-266b-40fa-b243-9dbc196c0896,0709daec3484993aaecb77862f6211a3,Atlanta,GA,Fulton,30337,33.64005,-84.45006,13768,Suburban,America/New_York,"Designer, graphic",4,80,9450.84,Separated,Male,Yes,9.53003591,16,1,1,No,Month-to-month,No,Yes,None,Yes,Yes,No,No,No,No,Yes,No,Yes,Electronic Check,3.834727471,137.468388,649.3891796,4,4,4,3,4,3,2,4
307,F693121,ee8652ea-0c5e-49c2-8dd5-89ae76c09c70,63a0d1e9d0e9b4acbf6e121dffa92dad,Mantua,UT,Box Elder,84324,41.48784,-111.95262,604,Rural,America/Denver,Youth worker,1,36,44977.06,Married,Male,No,6.592317798,16,3,0,No,Two Year,Yes,No,None,Yes,No,No,No,No,No,Yes,No,No,Bank Transfer(automatic),6.198230305,104.962874,823.0046464,3,3,3,4,3,3,3,4
308,O154545,76a246d6-43c3-46a1-bab0-6ffbbb4797bd,5e706dddc765a421bf74ba31ebecc632,Swedesboro,NJ,Gloucester,8085,39.75939,-75.33192,20731,Rural,America/New_York,Amenity horticulturist,0,72,13583.35,Widowed,Male,No,8.124261532,12,3,0,No,Two Year,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Bank Transfer(automatic),4.216732972,174.969934,1107.882056,3,4,5,3,5,2,4,3
309,A745374,76d13db8-7798-43e3-853d-84792f34bb03,cd16a6630c688498af438d7144767864,Earl Park,IN,Benton,47942,40.6855,-87.44579,666,Rural,America/Indiana/Indianapolis,Hotel manager,0,50,42093.64,Married,Male,No,11.44655577,11,1,0,No,One year,Yes,No,None,No,No,No,No,Yes,Yes,No,Yes,Yes,Mailed Check,4.355064781,139.99789,683.8622599,4,3,5,3,2,2,4,4
310,W893206,b0571676-c32f-4e00-b92e-026ebe439d29,3e7ed0a656a537f5fbb4e60f8d517cb7,Prairie Home,MO,Cooper,65068,38.82173,-92.61112,729,Urban,America/Chicago,Solicitor,3,31,55398.87,Widowed,Male,No,10.1755818,17,2,0,No,Two Year,No,Yes,DSL,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Electronic Check,4.030250374,144.988941,1301.49424,4,4,3,3,4,1,2,4
311,H113074,3f1e9faa-42a8-46ce-9557-4970bb78cfc4,85a20a944635a07d4170a95f75b407d1,Sacramento,CA,Sacramento,95819,38.56965,-121.4397,19659,Rural,America/Los_Angeles,"Geologist, wellsite",0,22,22362.59,Never Married,Female,No,13.7362126,15,0,2,No,One year,Yes,No,None,Yes,No,No,Yes,Yes,No,No,No,Yes,Electronic Check,9.915959247,114.997564,1079.012505,4,4,5,4,4,3,4,2
312,J779911,4882ee0a-7b89-4eaa-bfee-954b91a5b5e2,055886813c26e38c4392fb86700120b2,Greensboro,NC,Guilford,27403,36.06428,-79.82469,22569,Suburban,America/New_York,"Programmer, systems",0,50,40271.47,Married,Male,Yes,13.93422217,11,1,0,Yes,Month-to-month,Yes,No,None,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Credit Card (automatic),9.821728297,172.484753,1283.463995,3,3,3,3,5,2,3,3
313,Y832510,465d11a4-00b0-4ae3-93e4-a632de85b626,f25322d4f1c755d2f729ad60bb9a2f20,Fountain,MI,Mason,49410,44.03194,-86.12977,2019,Rural,America/Detroit,Politician's assistant,0,28,56178.63,Divorced,Male,No,3.405050602,11,2,0,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,No,No,Yes,No,No,No,No,Electronic Check,9.183905417,124.97808,987.653655,5,5,4,4,4,4,3,2
314,S528947,86f1f03a-874f-4e30-b284-e24ec502afbc,3097230a2ba75727aeda53410564fce8,Wilmot,NH,Merrimack,3287,43.44516,-71.91669,1566,Rural,America/New_York,TEFL teacher,0,63,21053.35,Never Married,Male,No,10.69284712,8,2,1,No,Month-to-month,No,Yes,Fiber Optic,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Electronic Check,8.892893007,174.991856,1088.263081,2,3,2,4,4,2,3,3
315,V592787,5f33d0ae-22c9-47af-b088-d0165d503435,75cc3f045aa277fedfb8b79c943dafec,Long Beach,CA,Los Angeles,90810,33.81894,-118.22111,38579,Rural,America/Los_Angeles,Social researcher,1,73,75866.75,Separated,Female,No,10.11985468,11,0,0,No,Month-to-month,Yes,No,None,Yes,No,No,No,No,Yes,No,No,No,Credit Card (automatic),7.661226872,92.488023,583.0259559,4,5,4,2,4,3,3,3
316,H283133,722a2e12-7231-4253-9e12-c55c6ddcc5ed,367aaaa7da14527ec692d7691967e176,Ault,CO,Weld,80610,40.66738,-104.59554,3232,Rural,America/Denver,Automotive engineer,3,72,74061.48,Never Married,Male,No,5.863179258,16,0,0,No,Month-to-month,Yes,No,DSL,Yes,No,No,No,Yes,No,No,Yes,No,Bank Transfer(automatic),12.4767812,139.965008,1778.733282,4,5,3,5,2,6,5,4
317,W884202,32ec99b7-b93f-4009-bcb3-a3d0252e5ac6,9ffd64601dcbfde80463ff558ebf9329,Newport,NJ,Cumberland,8345,39.2811,-75.16507,566,Urban,America/New_York,"Designer, blown glass/stained glass",7,23,35102.93,Never Married,Male,Yes,13.357551,8,0,0,No,Month-to-month,No,Yes,Fiber Optic,Yes,Yes,No,No,Yes,No,No,Yes,No,Electronic Check,2.462148717,192.470522,900.4043765,3,3,4,3,2,2,4,3
318,N447597,75a2b19f-3f00-4ddb-81df-fe3e062f09ea,596707c067c22197db432f80ee2e36f8,Critz,VA,Patrick,24082,36.61973,-80.12316,659,Urban,America/New_York,Estate agent,1,49,26391.1,Never Married,Male,Yes,14.04061351,10,1,0,No,One year,No,Yes,Fiber Optic,Yes,No,No,No,No,Yes,Yes,Yes,No,Mailed Check,14.09942339,220.118516,1693.576099,2,2,2,4,2,3,4,3
319,C416907,9cc732df-d268-4d3e-9ad0-56782a248349,24cab6e26518f027025ed56e9d21d3e3,Baskerville,VA,Mecklenburg,23915,36.70149,-78.28677,1253,Rural,America/New_York,Hydrographic surveyor,1,82,29982.49,Divorced,Female,Yes,4.586902043,14,0,0,Yes,Month-to-month,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Electronic Check,7.272649386,232.622804,1143.826239,5,5,5,4,2,4,5,4
320,A51913,f3f5e27e-8119-480a-826b-cb27a8a21013,f995cc35384243c2541a9eac51b4cf93,Twentynine Palms,CA,San Bernardino,92277,34.21531,-115.62219,23517,Suburban,America/Los_Angeles,"Investment banker, operational",1,72,51154.34,Divorced,Female,No,11.03563726,9,1,0,No,One year,Yes,No,None,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Credit Card (automatic),3.999030359,210.156274,886.340074,4,4,6,4,4,4,5,2
321,C742414,37c4830a-3846-4c57-957f-262122036cdd,d6c40bcdaf373e846939e4086e60698c,Duffield,VA,Scott,24244,36.71568,-82.78922,5886,Urban,America/New_York,Chief Financial Officer,1,45,37583.97,Never Married,Female,No,11.32768159,11,1,1,No,One year,No,No,Fiber Optic,Yes,No,Yes,No,No,No,No,No,Yes,Credit Card (automatic),3.115945151,114.972827,373.2772664,3,3,3,2,3,3,1,3
322,B773959,87695635-393f-4ae4-ab59-3ac2b3892d75,900d6ef716e5c1b156b3eba6e34cb9a6,Theodore,AL,Mobile,36582,30.51045,-88.17336,24628,Rural,America/Chicago,Publishing copy,1,73,28654.87,Divorced,Female,No,5.307097721,13,1,0,No,Month-to-month,No,Yes,Fiber Optic,Yes,No,Yes,Yes,No,Yes,No,No,No,Mailed Check,13.67931764,149.977753,1245.328696,4,4,3,3,5,4,4,4
323,H691053,9b0f073f-ac34-4245-8ce8-b26207acb2c7,f46003e73250b4293c20ae2c83923198,Black Creek,NY,Allegany,14714,42.28999,-78.23324,582,Suburban,America/New_York,Tax adviser,1,78,119968.61,Divorced,Female,Yes,8.993783986,7,3,0,No,Month-to-month,Yes,No,Fiber Optic,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Credit Card (automatic),14.6728104,184.985293,1564.936841,4,3,4,4,3,4,3,5
324,V971650,ce2e469e-0123-41f5-b86f-07cab7f2d423,4e61f3a47fd4769e24618cb82001782e,Daphne,AL,Baldwin,36526,30.61297,-87.86137,34669,Urban,America/Chicago,Quarry manager,4,71,11591.09,Married,Male,No,11.05733159,11,1,0,No,Month-to-month,No,No,DSL,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Electronic Check,5.953547112,132.479779,1354.401018,4,3,3,3,3,5,4,4
325,L226598,f58e6022-2206-4991-bbac-91649bbe6e1e,c5ad0c3fd84e8fa1ca8024aada7c19af,Gainesville,NY,Wyoming,14066,42.62422,-78.18041,1286,Urban,America/New_York,"Scientist, research (life sciences)",4,67,70174.11,Never Married,Female,Yes,8.702618087,11,0,0,No,Month-to-month,No,No,DSL,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Bank Transfer(automatic),11.74635394,190.12704,1971.429689,3,3,4,5,3,4,3,4
326,K730146,ad4fb90a-0792-4f61-9ff2-6db2cbd91ae1,251e8392dd8f3b3ae5075b46909b63f8,Bentonia,MS,Yazoo,39040,32.63748,-90.4199,3032,Urban,America/Chicago,Herpetologist,1,43,8495.04,Widowed,Male,No,7.045651851,11,1,2,Yes,Two Year,Yes,No,None,Yes,No,No,No,No,Yes,No,No,Yes,Electronic Check,5.954024226,92.488023,623.7865683,3,4,3,4,3,4,4,5
327,O894158,01a2e244-da60-4e4c-9562-f31dd1faacce,a61e2c177d7d385f6b4cdf0cdce980d8,Ashton,NE,Sherman,68817,41.27397,-98.79085,312,Urban,America/Chicago,"Buyer, industrial",5,27,17191.02,Widowed,Female,Yes,12.61411193,12,2,0,Yes,One year,No,No,DSL,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Electronic Check,22.8577804,220.114868,3040.553763,2,3,3,5,2,4,5,5
328,H307794,ac67775f-c7df-4a5c-92bc-e1bfec4ff216,f4d09f37dc6de9673c3343d6c4f79d31,Indianapolis,IN,Marion,46228,39.84886,-86.20019,15586,Urban,America/Indiana/Indianapolis,Production manager,2,39,24732.09,Divorced,Male,Yes,9.703658153,13,1,1,No,Month-to-month,Yes,No,DSL,Yes,No,Yes,No,Yes,No,No,No,No,Credit Card (automatic),1.407866545,107.495766,864.7036995,4,4,3,3,2,5,4,5
329,A318319,97133034-b45b-470f-acb5-321b71fbd1e8,d16cff6d3fd278d940d07889f6c3a541,Moran,WY,Teton,83013,43.95445,-110.43579,422,Suburban,America/Denver,Building surveyor,0,52,27282.21,Divorced,Female,No,8.220453321,13,0,1,No,Two Year,Yes,No,None,Yes,Yes,No,Yes,No,No,No,Yes,No,Mailed Check,21.08265979,169.967067,2042.113893,4,5,4,4,3,3,3,4
